GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenID Connect Server Library/openid-connect-common,org.mitre.util.jpa,JpaUtil,49,0,3,0,11,0,6,0,4,0
OpenID Connect Server Library/openid-connect-common,org.mitre.uma.model,PermissionTicket,38,0,0,0,16,0,11,0,11,0
OpenID Connect Server Library/openid-connect-common,org.mitre.uma.model,Claim,324,0,62,0,76,0,49,0,18,0
OpenID Connect Server Library/openid-connect-common,org.mitre.uma.model,ClaimProcessingResult,45,0,0,0,19,0,8,0,8,0
OpenID Connect Server Library/openid-connect-common,org.mitre.uma.model,SavedRegisteredClient,24,0,0,0,10,0,7,0,7,0
OpenID Connect Server Library/openid-connect-common,org.mitre.uma.model,Policy,201,0,38,0,49,0,31,0,12,0
OpenID Connect Server Library/openid-connect-common,org.mitre.uma.model,Permission,24,0,0,0,10,0,7,0,7,0
OpenID Connect Server Library/openid-connect-common,org.mitre.uma.model,ResourceSet,416,0,78,0,96,0,61,0,22,0
OpenID Connect Server Library/openid-connect-common,org.mitre.jwt.signer.service.impl,JWKSetCacheService.JWKSetVerifierFetcher,43,0,0,0,9,0,2,0,2,0
OpenID Connect Server Library/openid-connect-common,org.mitre.jwt.signer.service.impl,JWKSetCacheService.JWKSetEncryptorFetcher,49,0,0,0,11,0,2,0,2,0
OpenID Connect Server Library/openid-connect-common,org.mitre.jwt.signer.service.impl,ClientKeyCacheService.JWKSetEncryptorBuilder,14,0,0,0,2,0,2,0,2,0
OpenID Connect Server Library/openid-connect-common,org.mitre.jwt.signer.service.impl,JWKSetCacheService,87,0,0,0,19,0,4,0,4,0
OpenID Connect Server Library/openid-connect-common,org.mitre.jwt.signer.service.impl,DefaultJWTSigningAndValidationService,441,0,48,0,102,0,38,0,14,0
OpenID Connect Server Library/openid-connect-common,org.mitre.jwt.signer.service.impl,ClientKeyCacheService.JWKSetVerifierBuilder,14,0,0,0,2,0,2,0,2,0
OpenID Connect Server Library/openid-connect-common,org.mitre.jwt.signer.service.impl,SymmetricKeyJWTValidatorCacheService,67,0,4,0,20,0,5,0,3,0
