GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
UMA Server Library/openid-connect-server,org.mitre.openid.connect.request,ConnectOAuth2RequestFactory,667,0,106,0,139,0,58,0,5,0
UMA Server Library/openid-connect-server,org.mitre.openid.connect.assertion,JWTBearerClientAssertionTokenEndpointFilter.ClientAssertionRequestMatcher,33,0,6,0,10,0,5,0,2,0
UMA Server Library/openid-connect-server,org.mitre.openid.connect.assertion,JWTBearerClientAssertionTokenEndpointFilter,81,0,0,0,19,0,4,0,4,0
UMA Server Library/openid-connect-server,org.mitre.openid.connect.assertion,JWTBearerAuthenticationProvider,461,0,72,0,74,0,40,0,4,0
UMA Server Library/openid-connect-server,org.mitre.openid.connect.assertion,JWTBearerAssertionAuthenticationToken,57,0,0,0,24,0,7,0,7,0
UMA Server Library/openid-connect-server,org.mitre.openid.connect.assertion,JWTBearerClientAssertionTokenEndpointFilter.new AuthenticationSuccessHandler() {...},7,0,0,0,2,0,2,0,2,0
UMA Server Library/openid-connect-server,org.mitre.openid.connect.assertion,JWTBearerClientAssertionTokenEndpointFilter.new AuthenticationFailureHandler() {...},26,0,2,0,5,0,3,0,2,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,DefaultDeviceCodeService,118,0,8,0,29,0,11,0,7,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,DefaultOAuth2ClientDetailsEntityService.SectorIdentifierLoader,107,0,8,0,19,0,6,0,2,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,DefaultOAuth2ClientDetailsEntityService,688,0,120,0,136,0,75,0,15,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,DefaultOAuth2ProviderTokenService.new AbstractPageOperationTemplate() {...},20,0,0,0,4,0,3,0,3,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,DefaultOAuth2ProviderTokenService.new AbstractPageOperationTemplate() {...},20,0,0,0,4,0,3,0,3,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,DefaultOAuth2ProviderTokenService.new AbstractPageOperationTemplate() {...},21,0,0,0,4,0,3,0,3,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,BlacklistAwareRedirectResolver,49,0,6,0,14,0,8,0,5,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,DefaultOAuth2AuthorizationCodeService,106,0,2,0,27,0,10,0,9,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,DefaultOAuth2AuthorizationCodeService.new AbstractPageOperationTemplate() {...},18,0,0,0,4,0,3,0,3,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,DefaultDeviceCodeService.new AbstractPageOperationTemplate() {...},18,0,0,0,4,0,3,0,3,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,DefaultIntrospectionResultAssembler,236,0,18,0,50,0,13,0,4,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,DefaultOAuth2ProviderTokenService,847,0,96,0,179,0,73,0,25,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,DefaultSystemScopeService.new Predicate() {...},15,0,4,0,2,0,4,0,2,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,DefaultSystemScopeService.new Predicate() {...},15,0,4,0,2,0,4,0,2,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,DefaultSystemScopeService.new Function() {...},13,0,2,0,4,0,3,0,2,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,DefaultSystemScopeService.new Function() {...},25,0,4,0,7,0,4,0,2,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,DefaultSystemScopeService.new Predicate() {...},18,0,4,0,2,0,4,0,2,0
UMA Server Library/openid-connect-server,org.mitre.oauth2.service.impl,DefaultSystemScopeService,155,0,10,0,33,0,20,0,15,0
UMA Server Library/openid-connect-server,org.mitre.openid.connect.filter,MultiUrlRequestMatcher,63,0,6,0,13,0,5,0,2,0
UMA Server Library/openid-connect-server,org.mitre.openid.connect.filter,AuthorizationRequestFilter,326,0,46,0,83,0,29,0,6,0
UMA Server Library/openid-connect-server,org.mitre.openid.connect.web,JWKSetPublishingEndpoint,21,0,0,0,7,0,4,0,4,0
UMA Server Library/openid-connect-server,org.mitre.openid.connect.web,ApprovedSiteAPI,180,0,8,0,34,0,9,0,5,0
